,trial_id,trial_num,path_videos,path_frames,num,trial_type,objects_name,png,pass_masks,framerate,room,tot_frames,add_object_to_scene,save_frames,save_mp4,transition_start_frames,cam_position,cam_look_at
0,"7,24442686753366E+016",0,['../data/temp/videos/collision/psychological/72444268675336643_trial_0_img.mp4'],../data/temp/frames/collision/psychological/72444268675336643_trial_0/,5,psychological,"{'object1': '868580_pliers_max2016', 'object2': 'b03_burger'}",False,['_img'],30,empty,150,False,True,True,,"{'x': -1, 'y': 1.5, 'z': -3}","{'x': 0, 'y': 0, 'z': 0}"
1,"7,24442686753366E+016",1,['../data/temp/videos/collision/psychological/72444268675336643_trial_1_img.mp4'],../data/temp/frames/collision/psychological/72444268675336643_trial_1/,5,psychological,"{'object1': 'b03_iron_candle_vray', 'object2': 'b04_bottle_20ml'}",False,['_img'],30,empty,150,False,True,True,,"{'x': -1, 'y': 1.5, 'z': -3}","{'x': 0, 'y': 0, 'z': 0}"
2,"7,24442686753366E+016",2,['../data/temp/videos/collision/psychological/72444268675336643_trial_2_img.mp4'],../data/temp/frames/collision/psychological/72444268675336643_trial_2/,5,psychological,"{'object1': 'b03_burger', 'object2': 'box_18inx18inx12in_cardboard'}",False,['_img'],30,empty,150,False,True,True,,"{'x': -1, 'y': 1.5, 'z': -3}","{'x': 0, 'y': 0, 'z': 0}"
3,"7,24442686753366E+016",3,['../data/temp/videos/collision/psychological/72444268675336643_trial_3_img.mp4'],../data/temp/frames/collision/psychological/72444268675336643_trial_3/,5,psychological,"{'object1': 'b03_cocacola_can_cage', 'object2': 'b03_pen'}",False,['_img'],30,empty,150,False,True,True,,"{'x': -1, 'y': 1.5, 'z': -3}","{'x': 0, 'y': 0, 'z': 0}"
4,"7,24442686753366E+016",4,['../data/temp/videos/collision/psychological/72444268675336643_trial_4_img.mp4'],../data/temp/frames/collision/psychological/72444268675336643_trial_4/,5,psychological,"{'object1': 'b03_loafbread', 'object2': '034_vray'}",False,['_img'],30,empty,150,False,True,True,,"{'x': -1, 'y': 1.5, 'z': -3}","{'x': 0, 'y': 0, 'z': 0}"
5,"4,61212134887246E+016",0,['../data/temp/videos/collision/psychological/46121213488724648_trial_0_img.mp4'],../data/temp/frames/collision/psychological/46121213488724648_trial_0/,5,psychological,"{'object1': 'b04_3d_jar_180_gr_01', 'object2': '034_vray'}",False,['_img'],30,empty,150,False,True,True,,"{'x': -1, 'y': 1.5, 'z': -3}","{'x': 0, 'y': 0, 'z': 0}"
6,"4,61212134887246E+016",1,['../data/temp/videos/collision/psychological/46121213488724648_trial_1_img.mp4'],../data/temp/frames/collision/psychological/46121213488724648_trial_1/,5,psychological,"{'object1': '12_06_001', 'object2': 'b03_loafbread'}",False,['_img'],30,empty,150,False,True,True,,"{'x': -1, 'y': 1.5, 'z': -3}","{'x': 0, 'y': 0, 'z': 0}"
7,"4,61212134887246E+016",2,['../data/temp/videos/collision/psychological/46121213488724648_trial_2_img.mp4'],../data/temp/frames/collision/psychological/46121213488724648_trial_2/,5,psychological,"{'object1': 'basket_18inx18inx12iin_bamboo', 'object2': 'box_tapered_white_mesh'}",False,['_img'],30,empty,150,False,True,True,,"{'x': -1, 'y': 1.5, 'z': -3}","{'x': 0, 'y': 0, 'z': 0}"
8,"4,61212134887246E+016",3,['../data/temp/videos/collision/psychological/46121213488724648_trial_3_img.mp4'],../data/temp/frames/collision/psychological/46121213488724648_trial_3/,5,psychological,"{'object1': 'b03_696615_object001', 'object2': 'apple_ipod_touch_grey_vray'}",False,['_img'],30,empty,150,False,True,True,,"{'x': -1, 'y': 1.5, 'z': -3}","{'x': 0, 'y': 0, 'z': 0}"
9,"4,61212134887246E+016",4,['../data/temp/videos/collision/psychological/46121213488724648_trial_4_img.mp4'],../data/temp/frames/collision/psychological/46121213488724648_trial_4/,5,psychological,"{'object1': 'b03_banana_01_high', 'object2': 'b03_pen_01_001'}",False,['_img'],30,empty,150,False,True,True,,"{'x': -1, 'y': 1.5, 'z': -3}","{'x': 0, 'y': 0, 'z': 0}"
10,"4,60678899819739E+016",0,,../data/temp/frames/containment/psychological/46067889981973906_trial_0/,5,psychological,"{'object': 'b03_pen_01_001', 'container': 'coffeecup004_fix'}",False,"['_img', '_mask']",30,empty,200,True,True,False,,"{'x': -3.2509283722915967, 'y': 3.2052724338036906, 'z': -0.6967554328471663}","{'x': -2.6063271730496442, 'y': 1.0, 'z': -1.0158687555120045}"
11,"4,60678899819739E+016",1,,../data/temp/frames/containment/psychological/46067889981973906_trial_1/,5,psychological,"{'object': 'b03_cocacola_can_cage', 'container': 'basket_18inx18inx12iin_plastic_lattice'}",False,"['_img', '_mask']",30,empty,200,True,True,False,,"{'x': -3.2509283722915967, 'y': 3.2052724338036906, 'z': -0.6967554328471663}","{'x': -2.6063271730496442, 'y': 1.0, 'z': -1.0158687555120045}"
12,"4,60678899819739E+016",2,,../data/temp/frames/containment/psychological/46067889981973906_trial_2/,5,psychological,"{'object': 'alarm_clock', 'container': 'basket_18inx18inx12iin_bamboo'}",False,"['_img', '_mask']",30,empty,200,True,True,False,,"{'x': -3.2509283722915967, 'y': 3.2052724338036906, 'z': -0.6967554328471663}","{'x': -2.6063271730496442, 'y': 1.0, 'z': -1.0158687555120045}"
13,"4,60678899819739E+016",3,,../data/temp/frames/containment/psychological/46067889981973906_trial_3/,5,psychological,"{'object': '868580_pliers_max2016', 'container': 'elephant_bowl'}",False,"['_img', '_mask']",30,empty,200,True,True,False,,"{'x': -3.2509283722915967, 'y': 3.2052724338036906, 'z': -0.6967554328471663}","{'x': -2.6063271730496442, 'y': 1.0, 'z': -1.0158687555120045}"
14,"4,60678899819739E+016",4,,../data/temp/frames/containment/psychological/46067889981973906_trial_4/,5,psychological,"{'object': 'b03_banana_01_high', 'container': 'b04_basket'}",False,"['_img', '_mask']",30,empty,200,True,True,False,,"{'x': -3.2509283722915967, 'y': 3.2052724338036906, 'z': -0.6967554328471663}","{'x': -2.6063271730496442, 'y': 1.0, 'z': -1.0158687555120045}"
15,"4,17754988350743E+016",0,,../data/temp/frames/containment/psychological/41775498835074271_trial_0/,5,psychological,"{'object': 'alarm_clock', 'container': 'elephant_bowl'}",False,"['_img', '_mask']",30,empty,200,True,True,False,,"{'x': 2.101756297169455, 'y': 3.366202930322818, 'z': -1.3316741673161179}","{'x': 1.8577044728395053, 'y': 1.0, 'z': -0.6076091419432754}"
16,"4,17754988350743E+016",1,,../data/temp/frames/containment/psychological/41775498835074271_trial_1/,5,psychological,"{'object': '9v_battery', 'container': 'coffeecup004_fix'}",False,"['_img', '_mask']",30,empty,200,True,True,False,,"{'x': 2.101756297169455, 'y': 3.366202930322818, 'z': -1.3316741673161179}","{'x': 1.8577044728395053, 'y': 1.0, 'z': -0.6076091419432754}"
17,"4,17754988350743E+016",2,,../data/temp/frames/containment/psychological/41775498835074271_trial_2/,5,psychological,"{'object': 'afl_lamp', 'container': 'elephant_bowl'}",False,"['_img', '_mask']",30,empty,200,True,True,False,,"{'x': 2.101756297169455, 'y': 3.366202930322818, 'z': -1.3316741673161179}","{'x': 1.8577044728395053, 'y': 1.0, 'z': -0.6076091419432754}"
18,"4,17754988350743E+016",3,,../data/temp/frames/containment/psychological/41775498835074271_trial_3/,5,psychological,"{'object': 'b04_bottle_20ml', 'container': 'basket_18inx18inx12iin_bamboo'}",False,"['_img', '_mask']",30,empty,200,True,True,False,,"{'x': 2.101756297169455, 'y': 3.366202930322818, 'z': -1.3316741673161179}","{'x': 1.8577044728395053, 'y': 1.0, 'z': -0.6076091419432754}"
19,"4,17754988350743E+016",4,,../data/temp/frames/containment/psychological/41775498835074271_trial_4/,5,psychological,"{'object': 'apple', 'container': 'b03_basket'}",False,"['_img', '_mask']",30,empty,200,True,True,False,,"{'x': 2.101756297169455, 'y': 3.366202930322818, 'z': -1.3316741673161179}","{'x': 1.8577044728395053, 'y': 1.0, 'z': -0.6076091419432754}"
20,"5,64777161357117E+016",0,"['../data/temp/videos/occlusion/psychological/56477716135711719_trial_0_img.mp4', '../data/temp/videos/occlusion/psychological/56477716135711719_trial_0_mask.mp4']",../data/temp/frames/occlusion/psychological/56477716135711719_trial_0/,5,psychological,"{'object': 'coffeecup004', 'collider': 'appliance-ge-profile-microwave'}",False,"['_img', '_mask']",30,empty,200,False,True,True,,"{'x': 1.9606052788063546, 'y': 0.6932427815226329, 'z': 0.9784532453665078}","{'x': 0, 'y': 0, 'z': 0}"
21,"5,64777161357117E+016",1,"['../data/temp/videos/occlusion/psychological/56477716135711719_trial_1_img.mp4', '../data/temp/videos/occlusion/psychological/56477716135711719_trial_1_mask.mp4']",../data/temp/frames/occlusion/psychological/56477716135711719_trial_1/,5,psychological,"{'object': 'b03_cocacola_can_cage', 'collider': 'dishwasher_4_composite'}",False,"['_img', '_mask']",30,empty,200,False,True,True,,"{'x': 1.9606052788063546, 'y': 0.6932427815226329, 'z': 0.9784532453665078}","{'x': 0, 'y': 0, 'z': 0}"
22,"5,64777161357117E+016",2,"['../data/temp/videos/occlusion/psychological/56477716135711719_trial_2_img.mp4', '../data/temp/videos/occlusion/psychological/56477716135711719_trial_2_mask.mp4']",../data/temp/frames/occlusion/psychological/56477716135711719_trial_2/,5,psychological,"{'object': 'b03_cocacola_can_cage', 'collider': 'cabinet_24_singledoor_wood_beach_honey'}",False,"['_img', '_mask']",30,empty,200,False,True,True,,"{'x': 1.9606052788063546, 'y': 0.6932427815226329, 'z': 0.9784532453665078}","{'x': 0, 'y': 0, 'z': 0}"
